Country Name,Country Code,Series Name,Series Code,2008 [YR2008]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27722281
Albania,ALB,"Population, total",SP.POP.TOTL,2947314
Algeria,DZA,"Population, total",SP.POP.TOTL,34730604
American Samoa,ASM,"Population, total",SP.POP.TOTL,57490
Andorra,AND,"Population, total",SP.POP.TOTL,83860
Angola,AGO,"Population, total",SP.POP.TOTL,21695636
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85394
Argentina,ARG,"Population, total",SP.POP.TOTL,40080159
Armenia,ARM,"Population, total",SP.POP.TOTL,2907615
Aruba,ABW,"Population, total",SP.POP.TOTL,101362
Australia,AUS,"Population, total",SP.POP.TOTL,21249200
Austria,AUT,"Population, total",SP.POP.TOTL,8321496
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8763400
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,343680
Bahrain,BHR,"Population, total",SP.POP.TOTL,1114645
Bangladesh,BGD,"Population, total",SP.POP.TOTL,144304164
Barbados,BRB,"Population, total",SP.POP.TOTL,279946
Belarus,BLR,"Population, total",SP.POP.TOTL,9527985
Belgium,BEL,"Population, total",SP.POP.TOTL,10709973
Belize,BLZ,"Population, total",SP.POP.TOTL,306822
Benin,BEN,"Population, total",SP.POP.TOTL,8696915
Bermuda,BMU,"Population, total",SP.POP.TOTL,65273
Bhutan,BTN,"Population, total",SP.POP.TOTL,671611
Bolivia,BOL,"Population, total",SP.POP.TOTL,9721457
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3754261
Botswana,BWA,"Population, total",SP.POP.TOTL,1915636
Brazil,BRA,"Population, total",SP.POP.TOTL,192030362
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,26096
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,379418
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7492561
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,14689725
Burundi,BDI,"Population, total",SP.POP.TOTL,8126104
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,480846
Cambodia,KHM,"Population, total",SP.POP.TOTL,13883835
Cameroon,CMR,"Population, total",SP.POP.TOTL,19252674
Canada,CAN,"Population, total",SP.POP.TOTL,33247118
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,53835
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4273368
Chad,TCD,"Population, total",SP.POP.TOTL,11183589
Channel Islands,CHI,"Population, total",SP.POP.TOTL,156441
Chile,CHL,"Population, total",SP.POP.TOTL,16708255
China,CHN,"Population, total",SP.POP.TOTL,1324655000
Colombia,COL,"Population, total",SP.POP.TOTL,44254972
Comoros,COM,"Population, total",SP.POP.TOTL,657227
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,60411195
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4011487
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4463123
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,19605568
Croatia,HRV,"Population, total",SP.POP.TOTL,4309705
Cuba,CUB,"Population, total",SP.POP.TOTL,11236975
Curacao,CUW,"Population, total",SP.POP.TOTL,145880
Cyprus,CYP,"Population, total",SP.POP.TOTL,1081568
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10384603
Denmark,DNK,"Population, total",SP.POP.TOTL,5493621
Djibouti,DJI,"Population, total",SP.POP.TOTL,816361
Dominica,DMA,"Population, total",SP.POP.TOTL,70829
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9458079
Ecuador,ECU,"Population, total",SP.POP.TOTL,14535740
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,79636081
El Salvador,SLV,"Population, total",SP.POP.TOTL,6131767
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,860839
Eritrea,ERI,"Population, total",SP.POP.TOTL,3062782
Estonia,EST,"Population, total",SP.POP.TOTL,1337090
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1049948
Ethiopia,ETH,"Population, total",SP.POP.TOTL,82916236
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47822
Fiji,FJI,"Population, total",SP.POP.TOTL,845356
Finland,FIN,"Population, total",SP.POP.TOTL,5313399
France,FRA,"Population, total",SP.POP.TOTL,64374979
French Polynesia,PYF,"Population, total",SP.POP.TOTL,264064
Gabon,GAB,"Population, total",SP.POP.TOTL,1518538
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1689288
Georgia,GEO,"Population, total",SP.POP.TOTL,3848449
Germany,DEU,"Population, total",SP.POP.TOTL,82110097
Ghana,GHA,"Population, total",SP.POP.TOTL,23563832
